Day fraction since midnight on 	pH probe (pH)	Source Pressure (Pa)	air valve control ()
0.600954982	7.914204121	-18.17252541	NaN
0.60096653	7.913527012	-18.17252541	NaN
0.600978111	7.917094708	-18.17252541	NaN
0.600989672	7.934388638	-18.17252541	NaN
0.601001253	7.930655003	-18.17252541	NaN
0.601012833	7.918964386	-18.17252541	NaN
0.60102443	7.912671089	-18.17252541	NaN
0.601035971	7.901459694	-18.17252541	NaN
0.601047575	7.918266296	-18.17252541	NaN
0.601059132	7.920670509	-18.17252541	NaN
0.601070715	7.921624661	-18.17252541	NaN
0.601082265	7.906089306	-18.17252541	NaN
0.60109386	7.904695988	-18.17252541	NaN
0.601105457	7.902164459	-18.17252541	NaN
0.601117011	7.917426109	-18.17252541	NaN
0.601128559	7.927062035	-18.17252541	NaN
0.601140153	7.90230751	-18.17252541	NaN
0.601151746	7.903112412	-18.17252541	NaN
0.601163301	7.911071301	-18.17252541	NaN
0.601174874	7.918207645	-18.17252541	NaN
0.60118645	7.924386025	-18.17252541	NaN
0.601198011	7.931607723	-18.17252541	NaN
0.601209594	7.918633938	-18.17252541	NaN
0.601221184	7.922709465	-18.17252541	NaN
0.601232758	7.908459663	-18.17252541	NaN
0.60124432	7.903044701	-18.17252541	NaN
0.601255876	7.918510437	-18.17252541	NaN
0.601267461	7.910375118	-18.17252541	NaN
0.601279052	7.924390316	-18.17252541	NaN
0.601290615	7.933875084	-18.17252541	NaN
0.601302189	7.924211502	-18.17252541	NaN
0.601313761	7.922711372	-18.17252541	NaN
0.601325321	7.917840958	-18.17252541	NaN
0.601336938	7.901770592	-18.17252541	NaN
0.601348486	7.907862186	-18.17252541	NaN
0.601360058	7.912771225	-18.17252541	NaN
0.601371634	7.916614533	-18.17252541	NaN
0.601383216	7.903791428	-18.17252541	NaN
0.601394765	7.911365509	-18.17252541	NaN
0.601406348	7.907354355	-18.17252541	NaN
0.601417938	7.910233021	-18.17252541	NaN
0.601429493	7.915072918	-18.17252541	NaN
0.601441085	7.914360046	-18.17252541	NaN
0.601452667	7.914421082	-18.17252541	NaN
0.601464236	7.901671886	-18.17252541	NaN
0.601475815	7.914673328	-18.17252541	NaN
0.601487344	7.923512936	-18.17252541	NaN
0.601498963	7.914617539	-18.17252541	NaN
0.601510492	7.921917439	-18.17252541	NaN
0.601522104	7.909158707	-18.17252541	NaN
0.601533655	7.899951458	-18.17252541	NaN
0.601545241	7.909076691	-18.17252541	NaN
0.601556815	7.894805908	-18.17252541	NaN
0.601568418	7.89572382	-18.17252541	NaN
0.601579993	7.893126488	-18.17252541	NaN
0.601591547	7.898520947	-18.17252541	NaN
0.601603133	7.918548584	-18.17252541	NaN
0.601614707	7.925131798	-18.17252541	NaN
0.601626281	7.925965786	-18.17252541	NaN
0.601637841	7.920472145	-18.17252541	NaN
0.601649406	7.920175552	-18.17252541	NaN
0.601660988	7.92173624	-18.17252541	NaN
0.601672557	7.908521652	-18.17252541	NaN
0.601684131	7.903291702	-18.17252541	NaN
0.60169569	7.92778492	-18.17252541	NaN
0.601707286	7.95365572	-18.17252541	NaN
0.601718865	7.931221008	-18.17252541	NaN
0.60173043	7.931497574	-18.17252541	NaN
0.601741991	7.921534061	-18.17252541	NaN
0.601753582	7.919041157	-18.17252541	NaN
0.601765175	7.921350956	-18.17252541	NaN
0.601776728	7.907082558	-18.17252541	NaN
0.601788313	7.900640488	-18.17252541	NaN
0.60179988	7.905772209	-18.17252541	NaN
0.601811451	7.913555622	-18.17252541	NaN
0.601823022	7.919325829	-18.17252541	NaN
0.601834597	7.926241398	-18.17252541	NaN
0.601846168	7.921238422	-18.17252541	NaN
0.601857743	7.913432121	-18.17252541	NaN
0.601869316	7.91146183	-18.17252541	NaN
0.601880917	7.913231373	-18.17252541	NaN
0.60189246	7.910502434	-18.17252541	NaN
0.60190404	7.924804211	-18.17252541	NaN
0.601915616	7.912858963	-18.17252541	NaN
0.601927179	7.917936325	-18.17252541	NaN
0.601938778	7.927164078	-18.17252541	NaN
0.601950333	7.927130699	-18.17252541	NaN
0.601961903	7.925323963	-18.17252541	NaN
0.60197349	7.927655697	-18.17252541	NaN
0.601985046	7.92970705	-18.17252541	NaN
0.601996651	7.932908535	-18.17252541	NaN
0.602008211	7.923901081	-18.17252541	NaN
0.60201978	7.929060459	-18.17252541	NaN
0.602031353	7.915087223	-18.17252541	NaN
0.60204295	7.913441181	-18.17252541	NaN
0.602054512	7.91965723	-18.17252541	NaN
0.602066073	7.927209854	-18.17252541	NaN
0.602077653	7.91963768	-18.17252541	NaN
0.602089229	7.908875465	-18.17252541	NaN
0.602100806	7.907745838	-18.17252541	NaN
0.602112365	7.91553402	-18.17252541	NaN
0.602123958	7.914819241	-18.17252541	NaN
0.602135528	7.920306206	-18.17252541	NaN
0.602147105	7.934244633	-18.17252541	NaN
0.602158655	7.931723118	-18.17252541	NaN
0.602170258	7.916163921	-18.17252541	NaN
0.602181822	7.924799919	-18.17252541	NaN
0.602193396	7.930143833	-18.17252541	NaN
0.602204981	7.915492058	-18.17252541	NaN
0.602216549	7.914186478	-18.17252541	NaN
0.602228123	7.932137966	-18.17252541	NaN
0.602239698	7.946726799	-18.17252541	NaN
0.602251284	7.922500134	-18.17252541	NaN
0.602262875	7.922571182	-18.17252541	NaN
0.602274426	7.923104763	-18.17252541	NaN
0.602286014	7.914816856	-18.17252541	NaN
0.602297587	7.916913033	-18.17252541	NaN
0.602309153	7.921484947	-18.17252541	NaN
0.60232075	7.920639992	-18.17252541	NaN
0.602332297	7.920636654	-18.17252541	NaN
0.602343872	7.913197517	-18.17252541	NaN
0.602355452	7.926613808	-18.17252541	NaN
0.602367027	7.912040234	-18.17252541	NaN
0.602378596	7.925350189	-18.17252541	NaN
0.602390177	7.93308115	-18.17252541	NaN
0.602401736	7.916818142	-18.17252541	NaN
0.602413324	7.919938564	-18.17252541	NaN
0.6024249	7.929522038	-18.17252541	NaN
0.602436466	7.926990509	-18.17252541	NaN
0.602448066	7.930826664	-18.17252541	NaN
0.602459644	7.936337948	-18.17252541	NaN
0.602471222	7.911727905	-18.17252541	NaN
0.602482794	7.910255432	-18.17252541	NaN
0.602494375	7.910193443	-18.17252541	NaN
0.602505954	7.927560329	-18.17252541	NaN
0.602517505	7.923958778	-18.17252541	NaN
0.602529099	7.921516895	-18.17252541	NaN
0.602540642	7.916579247	-18.17252541	NaN
0.602552235	7.913007259	-18.17252541	NaN
0.602563798	7.912608624	-18.17252541	NaN
0.602575398	7.914124489	-18.17252541	NaN
0.602586969	7.921675205	-18.17252541	NaN
0.602598539	7.907553196	-18.17252541	NaN
0.602610128	7.908615112	-18.17252541	NaN
0.602621675	7.908220291	-18.17252541	NaN
0.602633262	7.92043829	-18.17252541	NaN
0.602644822	7.923688412	-18.17252541	NaN
0.602656442	7.915009499	-18.17252541	NaN
0.602668004	7.920181274	-18.17252541	NaN
0.602679549	7.93269825	-18.17252541	NaN
0.602691141	7.93178606	-18.17252541	NaN
0.602702705	7.924042702	-18.17252541	NaN
0.602714292	7.916455746	-18.17252541	NaN
0.602725881	7.91711998	-18.17252541	NaN
0.602737453	7.922842979	-18.17252541	NaN
