Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Source pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.647755354	35249.86328	6.031573772	95804.35938	0.089799636	57482.61563	95804.35938	57482.61563	52482.61563	2085.9	25.16065757	57482.61563
0.647813167	35233.49609	4.588884831	95579.5625	0.089953532	57347.7375	95579.5625	57347.7375	52347.7375	2085.9	25.09599573	7064.226911
0.647871047	35233.21094	3.566913843	95401.17188	0.090205913	57240.70313	95401.17188	57240.70313	52240.70313	2085.9	25.04468245	17432.53798
0.647929019	35557.85547	2.927089214	95714.21094	0.090171708	57428.52656	95714.21094	57428.52656	52428.52656	2085.9	25.13472677	27880.45862
0.647986865	36037.17578	2.658090353	97331.84375	0.089036131	58399.10625	97331.84375	58399.10625	53399.10625	2085.9	25.60003176	38305.62201
0.648044719	36813.17969	2.667368889	98940.07031	0.088032507	59364.04219	98940.07031	59364.04219	54364.04219	2085.9	26.06263109	48715.20545
0.648102619	37199.86719	2.821388483	100197.3281	0.087176267	60118.39688	100197.3281	60118.39688	55118.39688	2085.9	26.42427579	59167.03102
0.648160453	37572.97656	3.020143509	99908.02344	0.087702882	59944.81406	99908.02344	59944.81406	54944.81406	2085.9	26.34105857	59944.81406
0.648218384	37673.98438	3.306378365	99544.25	0.087941438	59726.55	99544.25	59726.55	54726.55	2085.9	26.23642073	59726.55
0.64827625	37945.65234	3.612976074	99228.28906	0.08832965	59536.97344	99228.28906	59536.97344	54536.97344	2085.9	26.14553595	59536.97344
0.648334049	37890.20703	3.903773546	98905.71094	0.088589995	59343.42656	98905.71094	59343.42656	54343.42656	2085.9	26.05274776	59343.42656
0.648391998	37670.30859	4.211899757	98611.32031	0.088667845	59166.79219	98611.32031	59166.79219	54166.79219	2085.9	25.96806759	59166.79219
0.648449875	37523.05078	4.497399807	98401.29688	0.08880617	59040.77813	98401.29688	59040.77813	54040.77813	2085.9	25.90765527	59040.77813
