Day fraction since midnight on 	photometer (mg/L)	 (volts)
0.632378248	-1.829533935	3.306902647
0.632436168	-1.828687072	3.306476116
0.632494036	-1.828138471	3.306199789
0.632551893	-1.827360988	3.305808306
0.63260977	-1.826805592	3.305528641
0.632667636	-1.825931549	3.30508852
0.632725504	-1.82409215	3.304162502
red dye added (405uL) at 100g/L		
0.632783374	-1.823360801	3.303794384
0.632841238	-1.822686315	3.303454876
0.632899108	3.810141325	1.185929775
0.632956977	19.57313156	-0.860282064
0.633014866	24.4023571	-1.0429281
0.633072726	22.19691658	-0.971306324
0.633130675	20.71713448	-0.91261822
0.63318849	20.02894783	-0.88192147
0.633246395	19.33661842	-0.848622263
0.633304251	18.99065781	-0.83101511
0.633362122	18.76622009	-0.819231868
0.633419986	18.3548317	-0.796869159
0.633477867	17.73189926	-0.761035979
0.633535673	17.0714035	-0.72028327
0.633593582	16.77548981	-0.701050103
0.633651456	16.39703941	-0.675529063
0.633709327	16.03419495	-0.650049985
0.63376713	15.60796738	-0.618801773
0.63382511	15.12193298	-0.58134824
0.63388292	14.97597981	-0.569707573
0.633940854	14.55134773	-0.534766138
0.633998658	13.92596912	-0.480264127
0.634056528	13.68930054	-0.458648026
0.63411439	13.43717003	-0.434996754
0.634172252	13.05831051	-0.398210615
0.634230126	12.68807125	-0.360760838
0.634287988	12.44667912	-0.335515827
0.634345876	12.11531925	-0.299760222
0.634403762	11.86849117	-0.272272646
0.634461633	11.29671955	-0.205679089
0.634519507	10.92830467	-0.160514593
0.634577381	10.63272381	-0.12294206
0.634635232	10.48161411	-0.103260256
0.634693117	10.34629059	-0.085356921
0.634750977	10.10277557	-0.052465703
0.634808846	9.727900505	-9.13406E-05
0.634866737	9.337907791	0.056719121
0.634924601	9.167961121	0.082242191
0.634982462	8.909104347	0.122039825
0.635040341	8.664856911	0.160636798
0.635098224	8.574631691	0.175156936
0.635156095	8.349892616	0.211952895
0.635213948	8.081114769	0.257161468
0.635271845	7.85874176	0.295580745
0.635329718	7.759566307	0.313018411
0.635387578	7.522751331	0.355428428
0.635445457	7.504611492	0.358722419
0.635503338	7.304409981	0.395513803
0.635561197	7.112431526	0.431557506
0.635619072	6.697557449	0.512078822
0.63567694	6.347732067	0.58286804
0.635734809	6.290167332	0.594777882
0.63579264	6.212982178	0.610864997
0.635850523	6.119393826	0.630553663
0.6359084	6.001768112	0.655586302
0.635966266	5.620657921	0.738936782
0.636024141	5.471984386	0.772404492
0.636081993	5.384737015	0.792299092
0.636139887	5.263647556	0.82022655
0.636197763	5.152752876	0.846128702
0.636255632	4.931415558	0.898774564
0.636313556	4.69167757	0.957251012
0.636371394	4.624751568	0.973850668
0.636429214	4.5967412	0.980834186
0.636487156	4.482429981	1.009556532
0.636545044	4.327058315	1.049175143
0.636602917	4.169831753	1.089956999
0.636660803	3.957975149	1.146027923
0.636718661	3.862852335	1.171628594
0.636776552	3.747263908	1.203097224
0.636834449	3.629187107	1.235656023
0.636892324	3.598128796	1.244290113
0.636950182	3.559187889	1.255156994
0.637008024	3.476173878	1.278477669
0.637065937	3.359103203	1.311727047
0.637123822	3.250336886	1.343001127
0.637181696	3.063849688	1.397494674
0.637239581	2.904818058	1.444850087
0.637297495	2.782030821	1.481979609
0.637355362	2.726004601	1.499087453
0.637413249	2.709956408	1.504007101
0.637471115	2.695587158	1.508419395
0.637529019	2.594939232	1.539519906
0.637586886	2.494889498	1.570776105
0.637644765	2.380191565	1.607031226
0.63770265	2.213284016	1.6606071
0.637760529	2.186275959	1.669368625
0.637818399	2.197675943	1.665667296
0.63787627	2.057089567	1.711636424
0.637934146	2.00793767	1.727875352
0.637992046	1.957741141	1.744549632
0.638049916	1.926900625	1.754839659
0.638107794	1.879364371	1.770768285
0.638165674	1.698662758	1.832078576
0.638223543	1.624648094	1.857542396
0.638281429	1.604678631	1.864447951
0.638339304	1.54624784	1.884740353
0.638397171	1.528316617	1.890993714
0.638455057	1.442660213	1.921035051
0.638512925	1.315448642	1.966172338
0.638570809	1.2700212	1.982443452
0.638628688	1.205306768	2.005762577
0.63868655	1.160730124	2.021921396
0.638744389	1.160784602	2.021901608
0.638802309	1.14614439	2.027225733
0.638860195	1.032771349	2.068745136
0.638918065	0.962673008	2.094674826
0.638975953	0.913600206	2.112945557
0.639033819	0.914900541	2.112460136
0.639091732	0.898872018	2.118448257
0.639149619	0.844592333	2.138804674
0.639207393	0.743366242	2.177091122
0.63926538	0.718997717	2.186371326
0.639323173	0.696693838	2.194886923
0.639381092	0.671516597	2.204524517
0.639438951	0.639267981	2.21690774
0.639496894	0.579025924	2.240157366
0.6395548	0.540442646	2.255128622
0.639612614	0.502634287	2.269860506
0.63967049	0.455139965	2.288452864
0.639728362	0.445070714	2.292407036
0.639786229	0.432361662	2.297404051
0.63984409	0.395412952	2.311971188
0.639901953	0.381811947	2.317348242
0.639959826	0.35485667	2.328028441
0.640017732	0.320777476	2.341576338
0.640075592	0.270010144	2.361852169
0.640133471	0.264866948	2.363912582
0.640191372	0.21674946	2.383244991
0.640249245	0.18401973	2.396453142
0.640307109	0.168410093	2.402769089
0.640364978	0.142616615	2.413229227
0.640422864	0.11475195	2.424562454
0.640480725	0.071772412	2.442111015
0.640538612	0.047372323	2.452110291
0.640596481	0.007763407	2.468399048
0.640654356	0.003172972	2.470291376
0.640712229	-0.006305409	2.474201679
0.6407701	-0.049811326	2.492202044
0.640827975	-0.059943698	2.496406555
0.640885848	-0.061553162	2.497074843
0.640943715	-0.080034494	2.504757166
0.641001579	-0.108492769	2.51661706
0.641059456	-0.135472208	2.527894735
0.641117335	-0.155964166	2.536482811
0.641175216	-0.19743447	2.5539217
0.641233086	-0.20916155	2.558867455
0.641290969	-0.238043159	2.571074963
0.641348828	-0.301230103	2.59791708
0.641406718	-0.316916525	2.604609489
0.641464572	-0.333862513	2.611852169
0.641522449	-0.327632308	2.609187841
