Day fraction since midnight on 	pH probe (pH)	Source Pressure (Pa)	air valve control ()
0.632020822	5.55166769	-18.17252541	NaN
0.632032393	5.543636799	-18.17252541	NaN
0.632043952	5.455092907	-18.17252541	NaN
0.632055547	5.438254356	-18.17252541	NaN
0.632067132	5.483090878	-18.17252541	NaN
0.632078691	5.540640831	-18.17252541	NaN
0.63209029	5.546733856	-18.17252541	NaN
0.632101838	5.610684872	-18.17252541	NaN
0.632113395	5.626438141	-18.17252541	NaN
0.632124996	5.61901331	-18.17252541	NaN
0.632136555	5.634483337	-18.17252541	NaN
0.632148123	5.675980568	-18.17252541	NaN
0.632159698	5.665076256	-18.17252541	NaN
0.632171281	5.678600788	-18.17252541	NaN
0.632182868	5.743162155	-18.17252541	NaN
0.632194442	5.749960899	-18.17252541	NaN
0.632205999	5.812312126	-18.17252541	NaN
0.63221757	5.763918877	-18.17252541	NaN
0.632229147	5.742283821	-18.17252541	NaN
0.632240723	5.729865074	-18.17252541	NaN
0.632252317	5.738101006	-18.17252541	NaN
0.632263872	5.744342804	-18.17252541	NaN
0.632275444	5.760201931	-18.17252541	NaN
0.632287027	5.816567898	-18.17252541	NaN
0.632298599	5.834569931	-18.17252541	NaN
0.632310167	5.841107369	-18.17252541	NaN
0.632321742	5.848856926	-18.17252541	NaN
0.632333334	5.905795574	-18.17252541	NaN
0.632344895	5.934374332	-18.17252541	NaN
0.632356483	5.979194641	-18.17252541	NaN
0.632368047	5.984051228	-18.17252541	NaN
0.632379601	5.968800545	-18.17252541	NaN
0.632391191	6.00521183	-18.17252541	NaN
0.632402768	6.028485298	-18.17252541	NaN
0.63241435	6.009988308	-18.17252541	NaN
0.632425941	6.004441261	-18.17252541	NaN
0.632437472	5.980714798	-18.17252541	NaN
0.632449053	5.974601269	-18.17252541	NaN
0.632460643	5.9883461	-18.17252541	NaN
pump starts part 2 CaCo3			
0.632472219	6.175162792	-18.17252541	NaN
0.632483776	6.080820561	-18.17252541	NaN
0.632495349	6.065958023	-18.17252541	NaN
0.63250692	6.118981838	-18.17252541	NaN
0.632518517	6.070667267	-18.17252541	NaN
0.632530063	6.116127014	-18.17252541	NaN
0.632541638	6.093559742	-18.17252541	NaN
0.632553255	6.115460396	-18.17252541	NaN
0.632564798	6.13737011	-18.17252541	NaN
0.632576374	6.200634956	-18.17252541	NaN
0.63258796	6.15398407	-18.17252541	NaN
0.632599514	6.166565418	-18.17252541	NaN
0.632611081	6.165476799	-18.17252541	NaN
0.632622662	6.183548927	-18.17252541	NaN
0.632634236	6.134369373	-18.17252541	NaN
0.632645818	6.123833656	-18.17252541	NaN
0.632657381	6.122000694	-18.17252541	NaN
0.632668969	6.143091202	-18.17252541	NaN
0.632680565	6.140287876	-18.17252541	NaN
0.632692132	6.149096489	-18.17252541	NaN
0.632703698	6.091496944	-18.17252541	NaN
0.632715263	6.116506577	-18.17252541	NaN
0.632726835	6.093912125	-18.17252541	NaN
0.632738419	6.034906387	-18.17252541	NaN
0.632749977	5.978003979	-18.17252541	NaN
0.632761577	5.916962147	-18.17252541	NaN
0.632773147	5.825032711	-18.17252541	NaN
0.632784714	5.787135124	-18.17252541	NaN
